area_id,area_name,room_id,room_name,date,time,status,detail
9,Gedung Lab FTI Lt 4 Barat,66,Lab. IF 4.1 (IFP),2025-12-01,22:00,available,Tersedia
9,Gedung Lab FTI Lt 4 Barat,66,Lab. IF 4.1 (IFP),2025-12-01,22:30,available,Tersedia
9,Gedung Lab FTI Lt 4 Barat,66,Lab. IF 4.1 (IFP),2025-12-01,23:00,available,Tersedia
9,Gedung Lab FTI Lt 4 Barat,66,Lab. IF 4.1 (IFP),2025-12-01,23:30,available,Tersedia
9,Gedung Lab FTI Lt 4 Barat,67,Lab. IF 4.2 (IFP),2025-12-01,07:00,available,Tersedia
9,Gedung Lab FTI Lt 4 Barat,67,Lab. IF 4.2 (IFP),2025-12-01,07:30,available,Tersedia
9,Gedung Lab FTI Lt 4 Barat,67,Lab. IF 4.2 (IFP),2025-12-01,08:00,booked,Sistem dan Jari...
9,Gedung Lab FTI Lt 4 Barat,67,Lab. IF 4.2 (IFP),2025-12-01,08:30,booked,
9,Gedung Lab FTI Lt 4 Barat,67,Lab. IF 4.2 (IFP),2025-12-01,09:00,booked,
9,Gedung Lab FTI Lt 4 Barat,67,Lab. IF 4.2 (IFP),2025-12-01,09:30,booked,
9,Gedung Lab FTI Lt 4 Barat,67,Lab. IF 4.2 (IFP),2025-12-01,10:00,booked,
9,Gedung Lab FTI Lt 4 Barat,67,Lab. IF 4.2 (IFP),2025-12-01,10:30,booked,Pengembangan Gi...
9,Gedung Lab FTI Lt 4 Barat,67,Lab. IF 4.2 (IFP),2025-12-01,11:00,booked,
9,Gedung Lab FTI Lt 4 Barat,67,Lab. IF 4.2 (IFP),2025-12-01,11:30,booked,
9,Gedung Lab FTI Lt 4 Barat,67,Lab. IF 4.2 (IFP),2025-12-01,12:00,booked,
9,Gedung Lab FTI Lt 4 Barat,67,Lab. IF 4.2 (IFP),2025-12-01,12:30,booked,Pengembangan Ap...
